rank,rikishi,heya,w,l
Sd47w,Hienriki,Oguruma,4,3
Sd48e,Nakazono,Nishonoseki,5,2
Sd48w,Yakabe,Chiganoura,3,4
Sd49e,Kotorikisen,Sadogatake,4,3
Sd49w,Tochikasuga,Kasugano,2,5
Sd50e,Hamayutaka,Tokitsukaze,2,5
Sd50w,Amanishiki,Hakkaku,4,3
Sd51e,Gorikiyama,Takadagawa,5,2
Sd51w,Chiyoraizan,Kokonoe,6,1
Sd52e,Takatenshu,Takanohana,4,3
Sd52w,Okinoiwa,Hakkaku,2,5
Sd53e,Amanoshima,Hakkaku,4,3
Sd53w,Kotoryusei,Sadogatake,3,4
Sd54e,Tokinowaka,Minato,4,3
Sd54w,Shobushi,Takadagawa,5,2
Sd55e,Hokutoo,Hakkaku,3,4
Sd55w,Kaiho,Tomozuna,4,3
Sd56e,Hokutotsuru,Hakkaku,2,5
Sd56w,Kenho,Tokitsukaze,2,5
Sd57e,Baraki,Shikihide,4,3
Sd57w,Fujinohana,Dewanoumi,3,4
Sd58e,Ishii,Chiganoura,5,2
Sd58w,Kotorikuzan,Sadogatake,5,2
Sd59e,Wakakoki,Shikoroyama,3,4
Sd59w,Ako,Onomatsu,2,5
Sd60e,Akatsuki,Takadagawa,4,3
Sd60w,Kakutaiki,Izutsu,5,2
Sd61e,Hamaeiko,Onoe,4,3
Sd61w,Ohata,Tokitsukaze,5,2
Sd62e,Fujiarashi,Isenoumi,1,6
Sd62w,Honda,Nishikido,2,5
Sd63e,Tsukimoto,Isenoumi,3,4
Sd63w,Tochiminato,Kasugano,3,4
Sd64e,Takei,Tamanoi,4,3
Sd64w,Komatsukasa,Irumagawa,3,4
Sd65e,Asayamabana,Takasago,3,4
Sd65w,Tochigidake,Kasugano,2,5
Sd66e,Sadahikari,Sakaigawa,6,1
Sd66w,Kototsubasa,Sadogatake,4,3
Sd67e,Kiriarashi,Michinoku,2,5
Sd67w,Inoue,Kise,5,2
Sd68e,Daionami,Tatsunami,4,3
Sd68w,Hibikiryu,Sakaigawa,1,6
Sd69e,Ebisumaru,Takadagawa,4,3
Sd69w,Takashinryu,Takanohana,4,3
Sd70e,Burinosato,Chiganoura,1,6
Sd70w,Takunishiki,Chiganoura,2,5
Sd71e,Saio,Nishikido,0,0
Sd71w,Azumasho,Tamanoi,3,4
Sd72e,Yoshinokuni,Sakaigawa,5,2
Sd72w,Fujinowaka,Fujishima,3,4
Sd73e,Mitotsukasa,Irumagawa,3,0
Sd73w,Tatsukaze,Oguruma,3,4
Sd74e,Miyauchi,Onoe,5,2
Sd74w,Hokutogo,Hakkaku,3,4
Sd75e,Mitsuuchi,Onomatsu,6,1
Sd75w,Shonannoumi,Takadagawa,4,3
Sd76e,Kaminoyama,Nishikido,0,7
Sd76w,Daishowaka,Oitekaze,4,3
Sd77e,Saidaiji,Irumagawa,6,1
Sd77w,Dewanojo,Dewanoumi,5,2
Sd78e,Matsuda,Minezaki,2,5
Sd78w,Maenofuji,Takadagawa,4,3
Sd79e,Kotootori,Sadogatake,5,2
Sd79w,Kiryu,Miyagino,1,4
Sd80e,Kenshin,Sakaigawa,2,5
Sd80w,Shohoryu,Tokitsukaze,4,3
Sd81e,Daishomune,Oitekaze,3,4
Sd81w,Fujinokaze,Oguruma,4,3
Sd82e,Hasugeyama,Shibatayama,2,5
Sd82w,Ginseizan,Otake,3,4
Sd83e,Tsubakifuji,Isegahama,4,3
Sd83w,Kotodaigo,Sadogatake,0,0
Sd84e,Dewaizumi,Dewanoumi,4,3
Sd84w,Ariake,Isenoumi,3,4
Sd85e,Ounabara,Shikoroyama,4,3
Sd85w,Ota,Yamahibiki,1,6
Sd86e,Haguroho,Tatsunami,6,1
Sd86w,Tosahikari,Isegahama,3,4
Sd87e,Kototora,Sadogatake,3,4
Sd87w,Fujihisashi,Azumazeki,3,4
Sd88e,Saionji,Shikihide,5,2
Sd88w,Narumi,Onomatsu,5,2
Sd89e,Kasuganami,Kasugayama,4,3
Sd89w,Daishoki,Oitekaze,2,5
Sd90e,Daishozen,Oitekaze,4,3
Sd90w,Tsubomi,Chiganoura,2,5
Sd91e,Hokutosho,Hakkaku,2,5
Sd91w,Yamatoarashi,Shikoroyama,3,4
Sd92e,Hamaminato,Minato,5,2
